City,Cloudiness,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity
port macquarie,0.0,AU,1549332000.0,-31.43,152.91,304.15,7.7,43.0
alofi,92.0,NU,1549336881.0,-19.06,-169.92,299.161,7.41,100.0
vallenar,0.0,CL,1549336882.0,-28.58,-70.76,290.686,0.41,92.0
san policarpo,100.0,PH,1549336882.0,12.18,125.51,298.736,6.11,99.0
montargis,90.0,FR,1549335600.0,48,2.74,275.15,1.5,98.0
geraldton,90.0,CA,1549332000.0,49.72,-86.95,249.15,4.1,69.0
husavik,48.0,CA,1549336883.0,50.56,-96.99,247.761,4.86,83.0
cap malheureux,75.0,MU,1549335600.0,-19.98,57.61,300.15,0.5,88.0
babu,0.0,CN,1549336884.0,23.23,104.89,290.911,1.36,62.0
dunedin,76.0,NZ,1549336884.0,-45.87,170.5,289.986,3.11,80.0
veraval,90.0,FR,1549335600.0,49.65,0.71,276.15,3.1,100.0
broome,0.0,GB,1549335360.0,52.47,1.45,272.15,2.6,100.0
indramayu,8.0,ID,1549336885.0,-4.05,103.78,299.686,1.06,85.0
luba,0.0,PH,1549336886.0,17.32,120.7,301.236,2.06,56.0
sao jose da coroa grande,92.0,BR,1549336886.0,-8.9,-35.15,298.486,2.96,98.0
ponta do sol,68.0,BR,1549336887.0,-20.63,-46,293.861,3.21,90.0
plettenberg bay,0.0,ZA,1549336887.0,-34.05,23.37,290.236,2.06,100.0
sartana,32.0,UA,1549336888.0,47.17,37.7,268.586,1.86,87.0
necochea,0.0,AR,1549336722.0,-38.55,-58.74,289.686,4.56,81.0
isangel,92.0,VU,1549336888.0,-19.55,169.27,301.011,2.21,98.0
gamba,0.0,CN,1549336889.0,28.28,88.52,253.411,0.91,56.0
salalah,20.0,OM,1549335000.0,17.01,54.1,295.15,2.6,73.0
fort nelson,90.0,CA,1549332480.0,58.81,-122.69,248.15,1.51,75.0
vostok,48.0,RU,1549336890.0,46.45,135.83,255.136,1.31,52.0
yangshan,0.0,CN,1549336890.0,31.68,103.77,279.161,0.96,20.0
